,min,max,mean,std,median,majority,minority,variace
Jan,0.0,3084.02001953125,0.34871996840325953,2.530833947394523,0.18000000715255737,0.0,44.5099983215332,6.405120469284545
Fev,0.0,3407.889892578125,0.36946637135071864,2.7463554005639526,0.1899999976158142,0.0,55.790000915527344,7.5424679862067885
Mar,0.0,3143.320068359375,0.42704937617326216,2.6093423748009035,0.25,0.0,55.380001068115234,6.808667628931618
Abr,0.0,10098.099609375,0.5506404170702747,4.141861961723014,0.36000001430511475,0.0,58.54999923706055,17.155020509968015
Mai,0.0,7953.3701171875,0.42862285546229073,3.5051431338829344,0.2199999988079071,0.20999999344348907,56.18000030517578,12.286028389006677
Jun,0.0,6599.10986328125,0.32967046132904326,3.1231644020773115,0.12999999523162842,0.10999999940395355,61.2400016784668,9.754155882402932
Jul,0.0,5518.31982421875,0.3945369519359227,3.1920946363332097,0.18000000715255737,0.1599999964237213,60.9900016784668,10.189468167307245
Ago,0.0,16859.119140625,0.36751971161787805,5.912974056342452,0.15000000596046448,0.12999999523162842,61.810001373291016,34.96326219097891
Set,0.0,1967.3399658203125,0.43146121511568986,2.7574564054378947,0.2199999988079071,0.1899999976158142,60.380001068115234,7.603565827890476
Out,0.0,8327.080078125,0.43725346991420927,3.1064944599276565,0.25,0.25,57.279998779296875,9.650307829561221
Nov,0.0,1701.239990234375,0.3917678462349569,2.3346638232655796,0.20999999344348907,0.0,57.34000015258789,5.450655167665053
Dez,0.0,2234.52001953125,0.3676817477646783,2.534304126813221,0.18000000715255737,0.0,58.02000045776367,6.422697407182522
